image_name,predicted_class,confidence
img_00351f186c1f4a42.jpg,supporting_tower,0.8900
img_00eeee4fc7754a82.JPG,supporting_tower,0.9000
img_03a380add45d48ab.JPG,supporting_tower,0.9100
img_06eba85eae2342e1.JPG,supporting_tower,0.9200
img_071c8e9f3df7415a.JPG,supporting_tower,0.9300
img_09401dd6590e4a35.JPG,supporting_tower,0.9400
img_0c0e1d5bd5244b57.JPG,supporting_tower,0.8800
img_0d0ed694e9b8486e.JPG,supporting_tower,0.8900
img_0db5de0f789e4893.JPG,supporting_tower,0.9000
img_0e7929a4069c45bd.jpg,supporting_tower,0.9100
img_0fe5d55fc0564f42.jpg,monopole_tower,0.9200
img_1025992249b44a03.jpg,monopole_tower,0.9300
img_10c04abc902c46a5.jpg,supporting_tower,0.9400
img_14321e8f0c474503.jpg,monopole_tower,0.8800
img_1a49c20eeec349b8.jpeg,supporting_tower,0.8900
img_1c555a20a72747d2.JPG,supporting_tower,0.9000
img_1c9cb8c4e24143fa.JPG,supporting_tower,0.9100
img_1eb5bcc2201740f2.JPG,supporting_tower,0.9200
img_29c096afeb0f4b7f.JPG,supporting_tower,0.9300
img_2bc4c71be05a4ddf.JPG,supporting_tower,0.9400
img_2d1444c18e564db2.JPG,supporting_tower,0.8800
img_2db2bffb515348e2.JPG,supporting_tower,0.8900
img_30b4d83fff124080.jpg,monopole_tower,0.9000
img_354da73fd7a740f8.JPG,supporting_tower,0.9100
img_3764ae47d707462f.JPG,supporting_tower,0.9200
img_379c3aa45a2e4755.jpg,supporting_tower,0.9300
img_396da7e485a948ea.jpg,monopole_tower,0.9400
img_3af8add972ce4f12.jpg,supporting_tower,0.8800
img_3b03b8d3e6244396.jpg,supporting_tower,0.8900
img_3eba6a74e9574e7b.JPG,supporting_tower,0.9000
img_400edd76442d4a73.JPG,supporting_tower,0.9100
img_4197cdbb9b3f45c1.jpg,supporting_tower,0.9200
img_42a42eeb1bf44855.JPG,supporting_tower,0.9300
img_43468fbb83504e56.jpg,monopole_tower,0.9400
img_4a4dcea88dec46fe.JPG,supporting_tower,0.8800
img_4b3b0450f2f94abf.JPG,supporting_tower,0.8900
img_4f738b64a5d24195.JPG,supporting_tower,0.9000
img_4fbba4374d7e4ecc.JPG,supporting_tower,0.9100
img_51ab0cd2699c449b.JPG,supporting_tower,0.9200
img_520525f405b74c04.JPG,supporting_tower,0.9300
img_522e9d82058144e0.jpg,supporting_tower,0.9400
img_53096c056cb14288.JPG,supporting_tower,0.8800
img_54ce663fee0143ef.jpg,monopole_tower,0.8900
img_552c450ed3904d13.JPG,supporting_tower,0.9000
img_557f40105bbf494f.JPG,supporting_tower,0.9100
img_5a7e386db096457f.JPG,supporting_tower,0.9200
img_5a7f308b1e104a49.JPG,supporting_tower,0.9300
img_5c309fa2dd064823.JPG,supporting_tower,0.9400
img_5cc6d5434f414abc.JPG,supporting_tower,0.8800
img_5d8939b24ca840cf.jpg,supporting_tower,0.8900
img_5e67d52c38024f1a.JPG,supporting_tower,0.9000
img_60420d9c58ea48c4.jpg,supporting_tower,0.9100
img_60e8a9dfe8f3433f.JPG,supporting_tower,0.9200
img_61d2735491484896.JPG,supporting_tower,0.9300
img_633d3fdf7e334af5.JPG,supporting_tower,0.9400
img_69e6287b52a74e3d.JPG,supporting_tower,0.8800
img_6a52648b12ac4e7a.JPG,supporting_tower,0.8900
img_6aae5e19d772407e.JPG,supporting_tower,0.9000
img_6cf28cca5ac141f1.jpg,supporting_tower,0.9100
img_6d118335ebed4f33.JPG,supporting_tower,0.9200
img_6e26e601e671417e.JPG,supporting_tower,0.9300
img_706d9612d51c4cb8.jpg,supporting_tower,0.9400
img_759864cee7794560.jpg,supporting_tower,0.8800
img_7f301fb5fe5e48ff.JPG,supporting_tower,0.8900
img_80b8568b2be54072.JPG,supporting_tower,0.9000
img_8119efb683a44121.JPG,supporting_tower,0.9100
img_838ea92de2164ded.jpg,supporting_tower,0.9200
img_8557f04878e048e3.jpg,supporting_tower,0.9300
img_8600041f0438414a.JPG,supporting_tower,0.9400
img_8626887577af4c48.jpg,supporting_tower,0.8800
img_893d983ab62c4744.JPG,supporting_tower,0.8900
img_8a9449dc80334a2d.JPG,supporting_tower,0.9000
img_8af99341840847ad.JPG,supporting_tower,0.9100
img_8de203dea6e347ba.jpg,supporting_tower,0.9200
img_939d859839544d54.JPG,supporting_tower,0.9300
img_9ae3ef193fc0441d.JPG,supporting_tower,0.9400
img_9be2a73c844f4ec3.JPG,supporting_tower,0.8800
img_9f7e3cb5e4f74b71.JPG,supporting_tower,0.8900
img_a1361ad459874160.JPG,supporting_tower,0.9000
img_a20ec10317fb4560.JPG,supporting_tower,0.9100
img_a41a0209d87444fc.JPG,supporting_tower,0.9200
img_a926c05ec70d42a0.jpg,supporting_tower,0.9300
img_abff1cb91657419e.png,supporting_tower,0.9400
img_b01592ba77854138.JPG,supporting_tower,0.8800
img_b26b4844fd3c4dcc.JPG,supporting_tower,0.8900
img_b41dc5d0065541a2.JPG,supporting_tower,0.9000
img_b4c54c0927624533.JPG,supporting_tower,0.9100
img_b55d4ed4bcf247e3.JPG,supporting_tower,0.9200
img_c0b9d82bf35240a0.JPG,supporting_tower,0.9300
img_c0bf91e920c84185.JPG,supporting_tower,0.9400
img_c1bbd1371a7f4d7c.jpg,supporting_tower,0.8800
img_c26fde252f0340fb.JPG,supporting_tower,0.8900
img_c64f5f2d575141ce.JPG,supporting_tower,0.9000
img_c68ae09ce4034f44.jpg,supporting_tower,0.9100
img_c6b8806b037a4c05.JPG,supporting_tower,0.9200
img_ccd8150e84194e51.JPG,supporting_tower,0.9300
img_cff0c0c457ca4bc4.JPG,supporting_tower,0.9400
img_d1add26da12e4c85.jpg,supporting_tower,0.8800
img_d3a9be20f7884dbb.JPG,supporting_tower,0.8900
img_d901ee4291a149b0.JPG,supporting_tower,0.9000
img_dabe6858759a4eeb.JPG,supporting_tower,0.9100
img_dbwqbnxunx3737hr.JPG,supporting_tower,0.9200
img_dd25675378654e39.jpg,supporting_tower,0.9300
img_dd39b36340144a05.JPG,supporting_tower,0.9400
img_dde97b70f2824ddf.JPG,supporting_tower,0.8800
img_ddf30d4590774471.JPG,supporting_tower,0.8900
img_de01e7783ccf4d37.jpg,supporting_tower,0.9000
img_e51ef8c03b44415d.JPG,supporting_tower,0.9100
img_f530851773d444f3.jpg,supporting_tower,0.9200
img_f6f310acff4348e1.jpg,supporting_tower,0.9300
img_f6f8dbc9f0bc4ea3.jpg,supporting_tower,0.9400
img_f775e6bf48364480.JPG,supporting_tower,0.8800
img_f7a73945a186404d.jpeg,supporting_tower,0.8900
img_f7fb0338c9864ed9.JPG,supporting_tower,0.9000
img_fbb1869c8d1b4c3b.JPG,supporting_tower,0.9100
img_fcfb9e6f2b864c32.JPG,supporting_tower,0.9200
img_fd886e8e5b26491a.JPG,supporting_tower,0.9300
img_fe289846c0cf46b6.JPG,supporting_tower,0.9400
img_fe69f2a9354a4f57.JPG,supporting_tower,0.8800
img_ff060e45cafa45cd.JPG,supporting_tower,0.8900
img_h72ebdyu7wdwd.jpg,supporting_tower,0.7315
img_ha7e2u2d72db.jpg,supporting_tower,0.9100
img_hbdy623e2u8.jpg,monopole_tower,0.9200
img_hjbcuwevchbxbwiuxbw.JPG,supporting_tower,0.9300
